	artist	fans	rank	2015_shows	2014_shows	2013_shows	2012_shows	2011_shows	miles	all_shows	familiarity	hotttnesss	bon_2015	ult_2015	sxs_2015	coa_2015	han_2015	sas_2015	gba_2015	acl_2015	noi_2015	bea_2015	reggae	latin	classical	country	jazz	punk	electro house	pop	r&b	hip hop	rock	world	metal	blues	folk	bon_counts	ult_counts	acl_counts	han_counts	gba_counts	sas_counts	coa_counts	sxs_counts	bea_counts	noi_counts	genre_pick
/artists/10237-selecter	The Selecter	17141.0	5160.0	63.0	60.0	53.0	48.0	31.0	166410.0	300.0	0.567229	0.658224	0	0	0	0	0	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	1	0	0	0	0
/artists/605942-stephen-jerzak	Stephen Jerzak	18709.0	4793.0	0.0	1.0	0.0	15.0	47.0	64463.0	177.0	0.459539	0.513883	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	1	0	0	7
/artists/3160066-flight-facilities	Flight Facilities	148020.0	679.0	51.0	29.0	32.0	18.0	22.0	346452.0	146.0	0.601317	0.723787	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	1	1	0	0	6
/artists/72400-robert-randolph-and-the-family-band	Robert Randolph & The Family Band	29566.0	3258.0	35.0	67.0	75.0	51.0	84.0	399752.0	555.0	0.524043	0.571925	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333333333333	0.0	0.0	0.666666666667	0.0	0	0	1	0	0	0	0	0	0	0	13
/artists/561185-bastille	Bastille	375096.0	169.0	30.0	124.0	144.0	36.0	18.0	326086.0	352.0	0.584801	0.716429	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.166666666667	0.833333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	1	1	0	1	0	0	0	7
/artists/367950-caifanes	Caifanes	22008.0	4203.0	7.0	3.0	11.0	15.0	18.0	38249.0	53.0	0.555054	0.566278	0	0	0	0	0	0	0	0	0	0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0	0	0	0	0	0	1	0	0	0	10
/artists/877317-mallory-knox	Mallory Knox	16039.0	5441.0	95.0	44.0	54.0	44.0	35.0	92159.0	282.0	0.482658	0.570841	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	1	0	0	10
/artists/355863-bad-manners	Bad Manners	17244.0	5132.0	53.0	44.0	25.0	36.0	56.0	219169.0	400.0	0.567831	0.610046	0	0	0	0	0	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	1	0	0	0	0
/artists/504489-dev	Dev	160350.0	613.0	12.0	4.0	3.0	28.0	13.0	112079.0	65.0	0.62414	0.615091	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.333333333333	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	1	0	0	0	0	0	0	0	7
/artists/201249-dizzee-rascal	Dizzee Rascal	178345.0	542.0	1.0	27.0	30.0	23.0	17.0	382599.0	344.0	0.679717	0.59119	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0	1	0	0	0	0	0	0	0	0	9
