	bon_2015	ult_2015	sxs_2015	coa_2015	han_2015	sas_2015	gba_2015	acl_2015	noi_2015	bea_2015	artist	fans
/artists/10237-selecter	0	0	0	0	0	0	0	0	0	0	The Selecter	17141.0
/artists/605942-stephen-jerzak	0	0	0	0	0	0	0	0	0	0	Stephen Jerzak	18709.0
/artists/3160066-flight-facilities	0	0	0	0	0	0	0	0	0	0	Flight Facilities	148020.0
/artists/72400-robert-randolph-and-the-family-band	0	0	0	0	0	0	0	0	0	0	Robert Randolph & The Family Band	29566.0
/artists/561185-bastille	0	0	0	0	0	0	0	0	0	0	Bastille	375096.0
/artists/367950-caifanes	0	0	0	0	0	0	0	0	0	0	Caifanes	22008.0
/artists/877317-mallory-knox	0	0	0	0	0	0	0	0	0	0	Mallory Knox	16039.0
/artists/355863-bad-manners	0	0	0	0	0	0	0	0	0	0	Bad Manners	17244.0
/artists/504489-dev	0	0	0	0	0	0	0	0	0	0	Dev	160350.0
/artists/201249-dizzee-rascal	0	0	0	0	0	0	0	0	0	0	Dizzee Rascal	178345.0
/artists/2202327-mumford-and-sons	1	0	0	0	0	0	0	0	0	0	Mumford & Sons	870053.0
/artists/6910-hayes-carll	0	0	0	0	0	0	0	0	0	0	Hayes Carll	29407.0
/artists/44913-basement-jaxx	0	0	0	0	0	0	0	0	0	0	Basement Jaxx	184815.0
/artists/81224-above-and-beyond	0	0	0	0	0	0	0	0	0	0	Above & Beyond	102745.0
/artists/281441-mako	0	0	0	0	0	0	0	1	0	0	Mako	10214.0
/artists/1055569-atlas-sound	0	0	0	0	0	0	0	0	0	0	Atlas Sound	69015.0
/artists/6071474-astr	0	0	0	0	0	0	1	0	0	0	ASTR	11259.0
/artists/3479006-girl-unit	0	0	0	0	0	0	0	0	0	0	Girl Unit	9550.0
/artists/44331-atmosphere	1	0	0	0	0	0	1	0	0	0	Atmosphere	168643.0
/artists/3792291-jon-pardi	0	0	0	0	0	0	0	0	0	0	Jon Pardi	15775.0
/artists/483507-depeche-mode	0	0	0	0	0	0	0	0	0	0	Depeche Mode	431426.0
/artists/5442918-diiv	0	0	0	0	0	0	1	0	0	0	DIIV	40680.0
/artists/4010656-bicep	0	0	0	0	0	0	0	0	0	0	Bicep	7013.0
/artists/242996-savages	0	0	0	0	0	0	0	0	0	0	Savages	32747.0
/artists/591219-james-blake	0	0	0	0	0	1	0	0	0	0	James Blake	244039.0
/artists/404729-gui-boratto	0	0	0	0	0	0	0	0	0	0	Gui Boratto	40886.0
/artists/3480676-orwells	0	0	0	1	0	0	0	0	0	0	The Orwells	29103.0
/artists/4016936-araabmuzik	0	0	0	0	0	0	0	0	0	0	AraabMuzik	23367.0
/artists/5146093-skaters	0	0	0	0	0	0	0	0	0	0	SKATERS	8140.0
/artists/1099272-virginmarys	0	0	0	0	0	0	0	0	0	0	The Virginmarys	15385.0
/artists/2602496-givers	0	0	0	0	0	0	0	0	0	0	Givers	50542.0
/artists/1217449-diamond-rings	0	0	0	0	0	0	0	0	0	0	Diamond Rings	19193.0
/artists/571087-nico-vega	0	0	0	0	0	0	0	0	0	0	Nico Vega	14628.0
/artists/162568-drums	0	0	0	0	0	0	0	0	0	0	The Drums	176781.0
/artists/280768-rise-against	0	0	0	0	0	0	0	0	0	0	Rise Against	339432.0
/artists/604236-machinedrum	0	0	0	0	0	0	0	0	0	0	Machinedrum	17675.0
/artists/96251-pigeon-john	0	0	0	0	0	0	0	0	0	0	Pigeon John	12220.0
/artists/667185-fences	0	0	0	0	0	1	0	0	0	0	Fences	19303.0
/artists/3328471-azari-and-iii	0	0	0	0	0	0	0	0	0	0	Azari & III	29621.0
/artists/233309-afghan-whigs	0	0	0	0	0	0	0	0	0	0	The Afghan Whigs	29435.0
/artists/2356914-pepper-rabbit	0	0	0	0	0	0	0	0	0	0	Pepper Rabbit	12137.0
/artists/351352-buzzcocks	0	0	0	0	0	0	0	0	0	0	Buzzcocks	75659.0
/artists/3123851-twenty-one-pilots	1	0	0	0	0	1	0	1	0	1	Twenty One Pilots	94333.0
/artists/31045-efterklang	0	0	0	0	0	0	0	0	0	0	Efterklang	44816.0
/artists/1839012-guards	0	0	0	0	0	0	0	0	0	0	Guards	19228.0
/artists/3432201-nicolas-jaar	0	0	0	0	0	0	0	0	0	0	Nicolas Jaar	65962.0
/artists/4898523-chet-faker	0	0	0	1	0	0	0	0	0	0	Chet Faker	117826.0
/artists/171120-faith-no-more	0	0	0	0	0	0	0	0	0	0	Faith No More	159525.0
/artists/964551-ty-segall	0	0	0	0	0	0	0	0	0	0	Ty Segall	44087.0
/artists/302038-jason-collett	0	0	0	0	0	0	0	0	0	0	Jason Collett	18368.0
/artists/840994-kindness	0	0	0	0	0	0	0	0	1	0	Kindness	32209.0
/artists/173376-jayz	0	0	0	0	0	0	0	0	0	0	Jay-Z	637642.0
/artists/515434-xx	0	0	0	0	0	0	0	0	0	0	The xx	670505.0
/artists/2335213-dawes	1	0	0	0	0	0	0	0	0	0	Dawes	62407.0
/artists/5470143-st-paul-and-the-broken-bones	0	0	0	1	0	0	0	0	0	1	St. Paul and the Broken Bones	19084.0
/artists/130039-bat-for-lashes	0	0	0	0	0	0	0	0	0	0	Bat For Lashes	156240.0
/artists/491621-oddisee	0	0	0	0	0	0	0	0	0	0	Oddisee	18818.0
/artists/4679433-deap-vally	0	0	0	0	0	0	0	0	0	0	Deap Vally	11258.0
/artists/1098617-suckers	0	0	0	0	0	0	0	0	0	0	Suckers	15824.0
/artists/2944346-gardens-and-villa	0	0	0	0	0	0	0	0	0	0	Gardens & Villa	27326.0
/artists/976661-mexican-institute-of-sound	0	0	0	0	0	0	0	0	0	0	Mexican Institute of Sound	18621.0
/artists/707825-aesop-rock	0	0	0	0	0	0	0	0	0	0	Aesop Rock	71040.0
/artists/233879-transit	0	0	1	0	0	0	0	0	0	0	Transit	19897.0
/artists/76901-ben-harper-and-the-innocent-criminals	1	0	0	0	0	0	0	0	0	0	Ben Harper And The Innocent Criminals	49409.0
/artists/397631-imperial-teen	0	0	0	0	0	0	0	0	0	0	Imperial Teen	10438.0
/artists/146059-smokey-robinson	0	0	0	0	0	0	0	0	0	0	Smokey Robinson	49384.0
/artists/181912-biffy-clyro	0	0	0	0	0	0	0	0	0	0	Biffy Clyro	179102.0
/artists/584519-claude-vonstroke	0	0	0	1	0	0	0	0	0	0	Claude VonStroke	25976.0
/artists/256197-cody-chesnutt	0	0	0	0	0	0	0	0	0	0	Cody Chesnutt	25974.0
/artists/437758-rogue-wave	0	0	0	0	0	0	0	0	0	0	Rogue Wave	102353.0
/artists/307960-sly-and-the-family-stone	0	0	0	0	0	0	0	0	0	0	Sly and the Family Stone	107191.0
/artists/24336-guster	1	0	0	0	0	0	0	0	0	0	Guster	106224.0
/artists/473254-one-am-radio	0	0	0	0	0	0	0	0	0	0	The One AM Radio	7735.0
/artists/352476-raekwon	0	0	0	1	0	0	0	0	0	0	Raekwon	84187.0
/artists/3277856-kendrick-lamar	1	0	0	0	0	1	0	0	0	0	Kendrick Lamar	484337.0
/artists/947549-hopsin	0	0	0	0	0	0	0	0	0	0	Hopsin	55317.0
/artists/2389146-chiddy-bang	0	0	0	0	0	0	0	0	0	0	Chiddy Bang	209711.0
/artists/413781-in-this-moment	0	0	0	0	0	0	0	0	0	0	In This Moment	49871.0
/artists/125439-trespassers-william	0	0	0	0	0	0	0	0	0	0	Trespassers William	12103.0
/artists/488253-mountain-goats	0	0	0	0	0	0	0	0	0	0	The Mountain Goats	71230.0
/artists/231667-said-the-whale	0	0	0	0	0	1	0	0	0	0	Said The Whale	25282.0
/artists/3408941-modestep	0	0	1	0	0	0	0	0	0	0	Modestep	76745.0
/artists/3314616-r3hab	0	0	0	1	0	0	0	0	0	0	R3hab	44602.0
/artists/644671-moondoggies	0	0	0	0	0	0	0	0	0	0	The Moondoggies	8216.0
/artists/5051543-phox	1	0	0	1	0	1	0	0	0	0	Phox	24126.0
/artists/2366507-here-we-go-magic	0	0	0	0	0	0	0	0	0	0	Here We Go Magic	40764.0
/artists/705029-grimes	0	0	0	0	0	0	0	0	0	0	Grimes	168014.0
/artists/798392-black-ryder	0	0	0	0	0	0	0	0	0	0	The Black Ryder	9263.0
/artists/3891776-ofwgkta	0	0	0	0	0	0	0	0	0	0	OFWGKTA	61611.0
/artists/132047-weird-al-yankovic	0	0	0	0	0	0	1	0	0	0	"""Weird Al"" Yankovic"	104267.0
/artists/2867646-lana-del-rey	0	0	0	0	0	1	1	0	0	0	Lana Del Rey	703953.0
/artists/410833-lecrae	0	0	0	0	0	0	0	0	0	0	Lecrae	54157.0
/artists/408791-stefano-noferini	0	0	0	0	0	0	0	0	0	0	Stefano Noferini	9494.0
/artists/205866-ariel-pinks-haunted-graffiti	0	0	0	0	0	0	0	0	0	0	Ariel Pink's Haunted Graffiti	60119.0
/artists/2999036-lower-dens	0	0	0	0	0	0	0	0	0	0	Lower Dens	35443.0
/artists/298105-eisley	0	0	0	0	0	0	0	0	0	0	Eisley	32007.0
/artists/5556193-cayucas	0	0	0	0	0	0	0	0	0	0	Cayucas	24743.0
/artists/391106-between-the-buried-and-me	1	0	0	0	0	0	0	0	0	0	Between The Buried And Me	35325.0
/artists/503681-m-ward	0	0	0	0	0	0	0	0	0	0	M. Ward	106420.0
/artists/3347666-blackbird-blackbird	0	0	0	0	0	0	0	0	0	0	Blackbird Blackbird	43296.0
/artists/2379178-japandroids	0	0	0	0	0	0	0	0	0	0	Japandroids	60597.0
/artists/628222-lee-foss	0	0	0	0	0	0	0	0	0	0	Lee Foss	7560.0
/artists/1990461-choir-of-young-believers	0	0	0	0	0	0	0	0	0	0	Choir of Young Believers	21061.0
/artists/66758-arcade-fire	0	0	0	0	0	0	0	0	0	0	Arcade Fire	642540.0
/artists/595798-punch-brothers	1	0	0	0	0	0	0	0	0	0	Punch Brothers	45530.0
/artists/128625-dj-zinc	0	0	0	0	0	0	0	0	0	0	DJ Zinc	20858.0
/artists/1986940-chateau-marmont	0	0	0	0	0	0	0	0	0	0	Chateau Marmont	8290.0
/artists/3015056-macklemore-and-ryan-lewis	0	0	0	0	0	0	0	0	0	0	Macklemore & Ryan Lewis	503752.0
/artists/175875-mos-def	0	0	0	0	0	0	0	0	0	0	Mos Def	176521.0
/artists/246395-aeroplane	0	0	0	0	0	0	0	0	0	0	Aeroplane	29591.0
/artists/1790343-districts	1	0	0	0	1	1	1	0	0	0	The Districts	11303.0
/artists/42687-dr-dog	0	0	0	0	0	0	0	0	0	0	Dr. Dog	114115.0
/artists/2789631-memory-tapes	0	0	0	0	0	0	0	0	0	0	Memory Tapes	35773.0
/artists/97789-pulp	0	0	0	0	0	0	0	0	0	0	Pulp	142931.0
/artists/511461-puddle-of-mudd	0	0	0	0	0	0	0	0	0	0	Puddle of Mudd	165614.0
/artists/551907-pendulum	0	0	0	0	0	0	0	0	0	0	Pendulum	236504.0
/artists/109292-moby	0	0	0	0	0	0	0	0	0	0	Moby	404743.0
/artists/4661543-slow-magic	0	0	0	0	0	1	0	0	1	0	Slow Magic	20932.0
/artists/107918-ray-lamontagne	0	0	0	0	0	0	0	0	0	0	Ray LaMontagne	237195.0
/artists/395944-andrew-bird	0	0	0	0	0	0	0	0	0	0	Andrew Bird	181472.0
/artists/205690-mark-kozelek	0	0	0	0	0	0	0	0	0	0	Mark Kozelek	11228.0
/artists/197291-tim-minchin	0	0	0	0	0	0	0	0	0	0	Tim Minchin	10882.0
/artists/37999-leftover-salmon	0	0	0	0	0	0	0	0	0	1	Leftover Salmon	7967.0
/artists/156783-serena-ryder	0	0	0	0	0	0	0	0	0	0	Serena Ryder	26403.0
/artists/587652-dubfire	0	0	0	1	0	0	0	0	0	0	Dubfire	14481.0
/artists/317223-lee-scratch-perry	0	0	0	0	0	0	0	0	0	0	"Lee ""Scratch"" Perry"	26678.0
/artists/398921-alexi-murdoch	0	0	0	0	0	0	0	0	0	0	Alexi Murdoch	77670.0
/artists/2331579-conor-oberst	0	0	0	0	0	0	1	0	0	0	Conor Oberst	46316.0
/artists/252248-ice-cube	0	0	0	0	0	0	0	0	0	0	Ice Cube	222879.0
